Parcela;Especie;DAP
7;Drimys brasiliensis;9,867606472
7;Araucaria angustifolia;7,543944303
7;Dasyphyllum spinescens;13,78281807
7;Jacaranda puberula;6,90732453
7;Dasyphyllum spinescens;12,95521237
7;Jacaranda puberula;10,0585924
7;Clethra scabra;6,939155519
7;Araucaria angustifolia;7,416620348
7;Araucaria angustifolia;43,3538065
7;Myrsine sp.;9,103662745
7;Casearia decandra;7,760105172
7;Eugenia pluriflora;11,26816997
7;Banara tomentosa;5,06112719
7;Dasyphyllum tomentosum;38,83380611
7;Cinnamomum amoenum;10,76936949
7;Dasyphyllum tomentosum;15,97915629
7;Araucaria angustifolia;15,69267739
7;Araucaria angustifolia;24,09605838
7;Machaerium paraguariense;23,87324146
7;Solanum sanctaecatharinae;7,193803428
7;Myrcia palustris;5,220282133
7;Casearia decandra;6,875493542
7;Araucaria angustifolia;5,920563883
8;Lithraea brasiliensis;23,30028367
8;Casearia decandra;7,257465405
8;Prunus myrtifolia;35,87352417
8;Lithraea brasiliensis;6,238873769
8;Myrsine umbellata;13,62366313
8;Myrsine umbellata;21,00845249
8;Eugenia pluriflora;15,15683254
8;Cedrela fissilis;15,82000134
8;Xylosma ciliatifolia;17,0614099
8;Cedrela fissilis;6,047887837
8;Annona rugulosa;5,53859202
8;Annona rugulosa;11,23633898
8;Zanthoxylum kleinii;15,82637266
8;Araucaria angustifolia;11,65014183
8;Duranta vestita;13,04938545
8;Zanthoxylum kleinii;10,15408537
8;Jacaranda puberula;5,283944111
8;Solanum pabstii;5,092958179
8;Casearia obliqua;11,61831085
8;Araucaria angustifolia;8,307888029
8;Araucaria angustifolia;35,65070725
8;Myrsine umbellata;10,90168376
8;Casearia decandra;6,079718826
8;Zanthoxylum kleinii;6,68450761
8;Podocarpus lambertii;5,124789168
8;Solanum sanctaecatharinae;6,302535746
8;Calyptranthes concinna;5,624365453
8;Cedrela fissilis;9,867606472
8;Araucaria angustifolia;42,55803178
8;Casearia decandra;5,888732894
8;Drimys brasiliensis;9,252694058
8;Cedrela fissilis;9,89943746
8;Araucaria angustifolia;30,74873501
8;Myrsine umbellata;18,68479032
8;Drimys brasiliensis;8,449613722
8;Araucaria angustifolia;12,15943765
8;Cinnamomum amoenum;34,63211562
8;Cedrela fissilis;12,00028271
8;Araucaria angustifolia;28,96619964
9;Annona rugulosa;5,697746963
9;Annona rugulosa;5,188451145
9;Casearia decandra;5,029296202
9;Zanthoxylum kleinii;13,49633917
9;Annona rugulosa;5,315775099
9;Jacaranda puberula;8,085071109
9;Banara tomentosa;11,14084602
9;Jacaranda puberula;8,403380995
9;Lamanonia ternata;7,321127382
9;Araucaria angustifolia;31,3216928
9;Casearia decandra;5,411268065
9;Casearia obliqua;8,180564075
9;Cedrela fissilis;15,88366332
9;Ocotea pulchella;5,124789168
